session_id,user_id,device,traffic_source,region,event_stage,event_timestamp,order_value
S100000,U17296,mobile,social,North,view_product,2025-11-05 07:14:00,
S100000,U17296,mobile,social,North,add_to_cart,2025-11-05 07:16:00,
S100001,U15697,desktop,paid_ads,West,view_product,2025-10-05 00:05:00,
S100001,U15697,desktop,paid_ads,West,add_to_cart,2025-10-05 00:06:00,
S100001,U15697,desktop,paid_ads,West,checkout_start,2025-10-05 00:12:00,
S100001,U15697,desktop,paid_ads,West,purchase,2025-10-05 00:21:00,101.0
S100002,U39439,mobile,organic_search,East,view_product,2025-10-01 05:44:00,
S100003,U28210,mobile,direct,South,view_product,2025-10-28 10:06:00,
S100003,U28210,mobile,direct,South,add_to_cart,2025-10-28 10:08:00,
S100003,U28210,mobile,direct,South,checkout_start,2025-10-28 10:11:00,
S100003,U28210,mobile,direct,South,purchase,2025-10-28 10:12:00,164.6
S100004,U18180,desktop,email,West,view_product,2025-10-11 17:18:00,
S100005,U33700,mobile,social,South,view_product,2025-10-09 01:42:00,
S100006,U28965,desktop,organic_search,North,view_product,2025-10-30 03:24:00,
S100006,U28965,desktop,organic_search,North,add_to_cart,2025-10-30 03:30:00,
S100006,U28965,desktop,organic_search,North,checkout_start,2025-10-30 03:33:00,
S100006,U28965,desktop,organic_search,North,purchase,2025-10-30 03:38:00,158.87
S100007,U14679,mobile,organic_search,South,view_product,2025-12-08 23:15:00,
S100007,U14679,mobile,organic_search,South,add_to_cart,2025-12-08 23:22:00,
S100007,U14679,mobile,organic_search,South,checkout_start,2025-12-08 23:28:00,
S100008,U24392,mobile,paid_ads,East,view_product,2025-10-08 07:52:00,
S100008,U24392,mobile,paid_ads,East,add_to_cart,2025-10-08 07:58:00,
S100008,U24392,mobile,paid_ads,East,checkout_start,2025-10-08 07:59:00,
S100008,U24392,mobile,paid_ads,East,purchase,2025-10-08 08:09:00,194.66
S100009,U30622,mobile,organic_search,South,view_product,2025-12-23 15:25:00,
S100010,U40071,desktop,organic_search,South,view_product,2025-11-03 04:15:00,
S100011,U27219,mobile,paid_ads,West,view_product,2025-12-14 12:23:00,
S100011,U27219,mobile,paid_ads,West,add_to_cart,2025-12-14 12:26:00,
S100012,U15957,mobile,direct,North,view_product,2025-10-15 04:40:00,
S100012,U15957,mobile,direct,North,add_to_cart,2025-10-15 04:47:00,
S100012,U15957,mobile,direct,North,checkout_start,2025-10-15 04:51:00,
S100012,U15957,mobile,direct,North,purchase,2025-10-15 04:59:00,123.47
S100013,U10752,mobile,paid_ads,North,view_product,2025-12-27 17:48:00,
S100014,U32293,desktop,organic_search,North,view_product,2025-11-07 13:10:00,
S100015,U27261,desktop,organic_search,South,view_product,2025-12-04 03:55:00,
S100016,U43270,mobile,social,South,view_product,2025-10-20 11:48:00,
S100016,U43270,mobile,social,South,add_to_cart,2025-10-20 11:49:00,
S100017,U42021,tablet,direct,North,view_product,2025-10-15 11:56:00,
S100018,U30153,mobile,organic_search,South,view_product,2025-10-08 07:56:00,
S100019,U15161,desktop,paid_ads,North,view_product,2025-12-02 02:48:00,
S100020,U18241,mobile,paid_ads,South,view_product,2025-12-24 15:35:00,
